PARAMETER,LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CLRSKY_SFC_SW_DWN,26.75,79.75,5.48,5.84,5.76,5.76,5.79,5.83,5.81,5.74,5.63,5.75,5.72,5.68,5.71,5.7,5.72,5.7,5.61,5.65,5.59,5.58,5.61
CLRSKY_SFC_SW_DWN,26.75,80.25,5.52,5.71,5.61,5.64,5.65,5.71,5.69,5.59,5.5,5.61,5.57,5.53,5.57,5.56,5.58,5.54,5.41,5.49,5.46,5.44,5.44
CLRSKY_SFC_SW_DWN,26.75,80.75,5.52,5.71,5.61,5.64,5.65,5.71,5.69,5.59,5.5,5.61,5.57,5.53,5.57,5.56,5.58,5.54,5.41,5.49,5.46,5.44,5.44
CLRSKY_SFC_SW_DWN,26.75,81.25,5.53,5.7,5.59,5.63,5.64,5.71,5.68,5.58,5.49,5.6,5.57,5.53,5.57,5.56,5.58,5.54,5.41,5.49,5.45,5.43,5.43
CLRSKY_SFC_SW_DWN,26.75,81.75,5.53,5.7,5.59,5.63,5.64,5.71,5.68,5.58,5.49,5.6,5.57,5.53,5.57,5.56,5.58,5.54,5.41,5.49,5.45,5.43,5.43
CLRSKY_SFC_SW_DWN,26.75,82.25,5.46,5.65,5.56,5.63,5.6,5.69,5.64,5.56,5.48,5.6,5.56,5.48,5.54,5.52,5.54,5.45,5.34,5.46,5.4,5.41,5.36
CLRSKY_SFC_SW_DWN,26.75,82.75,5.46,5.65,5.56,5.63,5.6,5.69,5.64,5.56,5.48,5.6,5.56,5.48,5.54,5.52,5.54,5.45,5.34,5.46,5.4,5.41,5.36
CLRSKY_SFC_SW_DWN,26.75,83.25,5.44,5.71,5.6,5.7,5.61,5.74,5.67,5.61,5.55,5.64,5.6,5.49,5.62,5.58,5.58,5.44,5.42,5.51,5.41,5.45,5.41
CLRSKY_SFC_SW_DWN,26.75,83.75,5.44,5.71,5.6,5.7,5.61,5.74,5.67,5.61,5.55,5.64,5.6,5.49,5.62,5.58,5.58,5.44,5.42,5.51,5.41,5.45,5.41
CLRSKY_SFC_SW_DWN,26.75,84.25,5.48,5.66,5.54,5.64,5.56,5.68,5.62,5.57,5.5,5.58,5.55,5.45,5.58,5.55,5.53,5.4,5.38,5.46,5.38,5.41,5.38
CLRSKY_SFC_SW_DWN,26.75,84.75,5.48,5.66,5.54,5.64,5.56,5.68,5.62,5.57,5.5,5.58,5.55,5.45,5.58,5.55,5.53,5.4,5.38,5.46,5.38,5.41,5.38
CLRSKY_SFC_SW_DWN,26.75,85.25,5.73,5.7,5.59,5.68,5.61,5.72,5.65,5.61,5.55,5.59,5.59,5.49,5.64,5.65,5.59,5.42,5.46,5.5,5.39,5.47,5.42
CLRSKY_SFC_SW_DWN,26.75,85.75,5.73,5.7,5.59,5.68,5.61,5.72,5.65,5.61,5.55,5.59,5.59,5.49,5.64,5.65,5.59,5.42,5.46,5.5,5.39,5.47,5.42
CLRSKY_SFC_SW_DWN,26.75,86.25,5.94,5.71,5.6,5.69,5.62,5.72,5.66,5.62,5.57,5.6,5.6,5.5,5.66,5.66,5.61,5.43,5.47,5.51,5.4,5.49,5.44
CLRSKY_SFC_SW_DWN,26.75,86.75,5.94,5.71,5.6,5.69,5.62,5.72,5.66,5.62,5.57,5.6,5.6,5.5,5.66,5.66,5.61,5.43,5.47,5.51,5.4,5.49,5.44
CLRSKY_SFC_SW_DWN,26.75,87.25,6.06,5.75,5.64,5.7,5.64,5.73,5.67,5.66,5.58,5.57,5.62,5.54,5.65,5.72,5.62,5.48,5.54,5.51,5.4,5.54,5.48
CLRSKY_SFC_SW_DWN,26.75,87.75,6.06,5.75,5.64,5.7,5.64,5.73,5.67,5.66,5.58,5.57,5.62,5.54,5.65,5.72,5.62,5.48,5.54,5.51,5.4,5.54,5.48
CLRSKY_SFC_SW_DWN,26.75,88.25,6.03,5.72,5.62,5.66,5.61,5.7,5.65,5.63,5.56,5.54,5.59,5.52,5.62,5.69,5.59,5.46,5.51,5.49,5.38,5.52,5.46
CLRSKY_SFC_SW_DWN,27.25,79.75,5.54,5.62,5.54,5.53,5.56,5.65,5.63,5.55,5.46,5.57,5.52,5.49,5.5,5.53,5.53,5.51,5.4,5.48,5.42,5.42,5.46
CLRSKY_SFC_SW_DWN,27.25,80.25,5.61,5.75,5.67,5.76,5.73,5.78,5.75,5.67,5.6,5.74,5.7,5.62,5.66,5.65,5.73,5.65,5.53,5.59,5.57,5.6,5.59
CLRSKY_SFC_SW_DWN,27.25,80.75,5.61,5.75,5.67,5.76,5.73,5.78,5.75,5.67,5.6,5.74,5.7,5.62,5.66,5.65,5.73,5.65,5.53,5.59,5.57,5.6,5.59
CLRSKY_SFC_SW_DWN,27.25,81.25,5.8,5.74,5.65,5.75,5.72,5.77,5.74,5.66,5.59,5.73,5.69,5.62,5.65,5.64,5.72,5.65,5.53,5.58,5.56,5.59,5.57
CLRSKY_SFC_SW_DWN,27.25,81.75,5.8,5.74,5.65,5.75,5.72,5.77,5.74,5.66,5.59,5.73,5.69,5.62,5.65,5.64,5.72,5.65,5.53,5.58,5.56,5.59,5.57
CLRSKY_SFC_SW_DWN,27.25,82.25,5.98,5.94,5.81,5.94,5.89,5.94,5.91,5.83,5.8,5.92,5.89,5.81,5.86,5.83,5.93,5.85,5.72,5.79,5.74,5.77,5.76
CLRSKY_SFC_SW_DWN,27.25,82.75,5.98,5.94,5.81,5.94,5.89,5.94,5.91,5.83,5.8,5.92,5.89,5.81,5.86,5.83,5.93,5.85,5.72,5.79,5.74,5.77,5.76
CLRSKY_SFC_SW_DWN,27.25,83.25,6.04,6.12,5.99,6.09,6.04,6.11,6.08,6.01,6.0,6.1,6.05,6.0,6.1,6.09,6.13,6.0,5.9,5.96,5.89,5.93,5.95
CLRSKY_SFC_SW_DWN,27.25,83.75,6.04,6.12,5.99,6.09,6.04,6.11,6.08,6.01,6.0,6.1,6.05,6.0,6.1,6.09,6.13,6.0,5.9,5.96,5.89,5.93,5.95
CLRSKY_SFC_SW_DWN,27.25,84.25,6.06,6.11,5.99,6.1,6.04,6.12,6.09,6.02,6.01,6.11,6.06,6.01,6.11,6.1,6.13,6.0,5.91,5.96,5.89,5.93,5.95
CLRSKY_SFC_SW_DWN,27.25,84.75,6.06,6.11,5.99,6.1,6.04,6.12,6.09,6.02,6.01,6.11,6.06,6.01,6.11,6.1,6.13,6.0,5.91,5.96,5.89,5.93,5.95
CLRSKY_SFC_SW_DWN,27.25,85.25,6.63,6.26,6.2,6.23,6.15,6.24,6.24,6.19,6.16,6.24,6.18,6.18,6.29,6.32,6.23,6.07,6.05,6.1,6.01,6.08,6.14
CLRSKY_SFC_SW_DWN,27.25,85.75,6.63,6.26,6.2,6.23,6.15,6.24,6.24,6.19,6.16,6.24,6.18,6.18,6.29,6.32,6.23,6.07,6.05,6.1,6.01,6.08,6.14
CLRSKY_SFC_SW_DWN,27.25,86.25,6.46,6.51,6.46,6.49,6.41,6.5,6.49,6.44,6.41,6.49,6.45,6.45,6.56,6.6,6.5,6.34,6.32,6.38,6.29,6.37,6.43
CLRSKY_SFC_SW_DWN,27.25,86.75,6.46,6.51,6.46,6.49,6.41,6.5,6.49,6.44,6.41,6.49,6.45,6.45,6.56,6.6,6.5,6.34,6.32,6.38,6.29,6.37,6.43
