PARAMETER,LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALLSKY_SFC_SW_DWN,26.25,79.75,4.95,5.17,5.16,4.9,5.11,5.12,5.15,5.08,4.88,5.18,4.99,4.99,5.05,4.91,5.04,5.04,4.95,4.97,4.86,4.75,4.85
ALLSKY_SFC_SW_DWN,26.25,80.25,4.91,5.02,4.96,4.77,4.97,4.99,5.02,4.9,4.73,5.05,4.84,4.8,4.92,4.77,4.87,4.9,4.73,4.81,4.72,4.6,4.65
ALLSKY_SFC_SW_DWN,26.25,80.75,4.91,5.02,4.96,4.77,4.97,4.99,5.02,4.9,4.73,5.05,4.84,4.8,4.92,4.77,4.87,4.9,4.73,4.81,4.72,4.6,4.65
ALLSKY_SFC_SW_DWN,26.25,81.25,4.88,4.9,4.92,4.69,4.91,4.95,4.96,4.83,4.68,5.02,4.8,4.76,4.88,4.72,4.83,4.85,4.69,4.79,4.72,4.56,4.56
ALLSKY_SFC_SW_DWN,26.25,81.75,4.88,4.9,4.92,4.69,4.91,4.95,4.96,4.83,4.68,5.02,4.8,4.76,4.88,4.72,4.83,4.85,4.69,4.79,4.72,4.56,4.56
ALLSKY_SFC_SW_DWN,26.25,82.25,4.76,4.78,4.84,4.69,4.81,4.91,4.87,4.73,4.62,4.96,4.74,4.66,4.81,4.6,4.73,4.68,4.56,4.74,4.62,4.5,4.38
ALLSKY_SFC_SW_DWN,26.25,82.75,4.76,4.78,4.84,4.69,4.81,4.91,4.87,4.73,4.62,4.96,4.74,4.66,4.81,4.6,4.73,4.68,4.56,4.74,4.62,4.5,4.38
ALLSKY_SFC_SW_DWN,26.25,83.25,4.66,4.73,4.81,4.7,4.74,4.92,4.84,4.67,4.62,4.92,4.72,4.63,4.8,4.59,4.66,4.58,4.54,4.71,4.59,4.52,4.37
ALLSKY_SFC_SW_DWN,26.25,83.75,4.66,4.73,4.81,4.7,4.74,4.92,4.84,4.67,4.62,4.92,4.72,4.63,4.8,4.59,4.66,4.58,4.54,4.71,4.59,4.52,4.37
ALLSKY_SFC_SW_DWN,26.25,84.25,4.81,4.71,4.73,4.68,4.69,4.85,4.75,4.62,4.61,4.89,4.7,4.59,4.76,4.58,4.61,4.55,4.52,4.62,4.57,4.51,4.33
ALLSKY_SFC_SW_DWN,26.25,84.75,4.81,4.71,4.73,4.68,4.69,4.85,4.75,4.62,4.61,4.89,4.7,4.59,4.76,4.58,4.61,4.55,4.52,4.62,4.57,4.51,4.33
ALLSKY_SFC_SW_DWN,26.25,85.25,5.02,4.78,4.71,4.71,4.7,4.84,4.77,4.62,4.67,4.85,4.74,4.61,4.82,4.66,4.64,4.55,4.55,4.63,4.61,4.59,4.37
ALLSKY_SFC_SW_DWN,26.25,85.75,5.02,4.78,4.71,4.71,4.7,4.84,4.77,4.62,4.67,4.85,4.74,4.61,4.82,4.66,4.64,4.55,4.55,4.63,4.61,4.59,4.37
ALLSKY_SFC_SW_DWN,26.25,86.25,5.08,4.68,4.56,4.6,4.53,4.69,4.68,4.57,4.64,4.75,4.66,4.54,4.78,4.62,4.62,4.51,4.5,4.6,4.58,4.57,4.33
ALLSKY_SFC_SW_DWN,26.25,86.75,5.08,4.68,4.56,4.6,4.53,4.69,4.68,4.57,4.64,4.75,4.66,4.54,4.78,4.62,4.62,4.51,4.5,4.6,4.58,4.57,4.33
ALLSKY_SFC_SW_DWN,26.25,87.25,5.11,4.58,4.44,4.43,4.34,4.53,4.52,4.44,4.48,4.53,4.49,4.43,4.63,4.52,4.5,4.4,4.38,4.44,4.39,4.44,4.14
ALLSKY_SFC_SW_DWN,26.25,87.75,5.11,4.58,4.44,4.43,4.34,4.53,4.52,4.44,4.48,4.53,4.49,4.43,4.63,4.52,4.5,4.4,4.38,4.44,4.39,4.44,4.14
ALLSKY_SFC_SW_DWN,26.25,88.25,4.95,4.42,4.25,4.23,4.17,4.33,4.35,4.3,4.29,4.37,4.24,4.28,4.38,4.39,4.35,4.18,4.21,4.26,4.19,4.21,3.93
ALLSKY_SFC_SW_DWN,26.75,79.75,4.95,5.17,5.16,4.9,5.11,5.12,5.15,5.08,4.88,5.18,4.99,4.99,5.05,4.91,5.04,5.04,4.95,4.97,4.86,4.75,4.85
ALLSKY_SFC_SW_DWN,26.75,80.25,4.91,5.02,4.96,4.77,4.97,4.99,5.02,4.9,4.73,5.05,4.84,4.8,4.92,4.77,4.87,4.9,4.73,4.81,4.72,4.6,4.65
ALLSKY_SFC_SW_DWN,26.75,80.75,4.91,5.02,4.96,4.77,4.97,4.99,5.02,4.9,4.73,5.05,4.84,4.8,4.92,4.77,4.87,4.9,4.73,4.81,4.72,4.6,4.65
ALLSKY_SFC_SW_DWN,26.75,81.25,4.88,4.9,4.92,4.69,4.91,4.95,4.96,4.83,4.68,5.02,4.8,4.76,4.88,4.72,4.83,4.85,4.69,4.79,4.72,4.56,4.56
ALLSKY_SFC_SW_DWN,26.75,81.75,4.88,4.9,4.92,4.69,4.91,4.95,4.96,4.83,4.68,5.02,4.8,4.76,4.88,4.72,4.83,4.85,4.69,4.79,4.72,4.56,4.56
ALLSKY_SFC_SW_DWN,26.75,82.25,4.76,4.78,4.84,4.69,4.81,4.91,4.87,4.73,4.62,4.96,4.74,4.66,4.81,4.6,4.73,4.68,4.56,4.74,4.62,4.5,4.38
ALLSKY_SFC_SW_DWN,26.75,82.75,4.76,4.78,4.84,4.69,4.81,4.91,4.87,4.73,4.62,4.96,4.74,4.66,4.81,4.6,4.73,4.68,4.56,4.74,4.62,4.5,4.38
ALLSKY_SFC_SW_DWN,26.75,83.25,4.66,4.73,4.81,4.7,4.74,4.92,4.84,4.67,4.62,4.92,4.72,4.63,4.8,4.59,4.66,4.58,4.54,4.71,4.59,4.52,4.37
ALLSKY_SFC_SW_DWN,26.75,83.75,4.66,4.73,4.81,4.7,4.74,4.92,4.84,4.67,4.62,4.92,4.72,4.63,4.8,4.59,4.66,4.58,4.54,4.71,4.59,4.52,4.37
ALLSKY_SFC_SW_DWN,26.75,84.25,4.81,4.71,4.73,4.68,4.69,4.85,4.75,4.62,4.61,4.89,4.7,4.59,4.76,4.58,4.61,4.55,4.52,4.62,4.57,4.51,4.33
ALLSKY_SFC_SW_DWN,26.75,84.75,4.81,4.71,4.73,4.68,4.69,4.85,4.75,4.62,4.61,4.89,4.7,4.59,4.76,4.58,4.61,4.55,4.52,4.62,4.57,4.51,4.33
ALLSKY_SFC_SW_DWN,26.75,85.25,5.02,4.78,4.71,4.71,4.7,4.84,4.77,4.62,4.67,4.85,4.74,4.61,4.82,4.66,4.64,4.55,4.55,4.63,4.61,4.59,4.37
ALLSKY_SFC_SW_DWN,26.75,85.75,5.02,4.78,4.71,4.71,4.7,4.84,4.77,4.62,4.67,4.85,4.74,4.61,4.82,4.66,4.64,4.55,4.55,4.63,4.61,4.59,4.37
ALLSKY_SFC_SW_DWN,26.75,86.25,5.08,4.68,4.56,4.6,4.53,4.69,4.68,4.57,4.64,4.75,4.66,4.54,4.78,4.62,4.62,4.51,4.5,4.6,4.58,4.57,4.33
ALLSKY_SFC_SW_DWN,26.75,86.75,5.08,4.68,4.56,4.6,4.53,4.69,4.68,4.57,4.64,4.75,4.66,4.54,4.78,4.62,4.62,4.51,4.5,4.6,4.58,4.57,4.33
ALLSKY_SFC_SW_DWN,26.75,87.25,5.11,4.58,4.44,4.43,4.34,4.53,4.52,4.44,4.48,4.53,4.49,4.43,4.63,4.52,4.5,4.4,4.38,4.44,4.39,4.44,4.14
ALLSKY_SFC_SW_DWN,26.75,87.75,5.11,4.58,4.44,4.43,4.34,4.53,4.52,4.44,4.48,4.53,4.49,4.43,4.63,4.52,4.5,4.4,4.38,4.44,4.39,4.44,4.14
ALLSKY_SFC_SW_DWN,26.75,88.25,4.95,4.42,4.25,4.23,4.17,4.33,4.35,4.3,4.29,4.37,4.24,4.28,4.38,4.39,4.35,4.18,4.21,4.26,4.19,4.21,3.93
ALLSKY_SFC_SW_DWN,27.25,79.75,4.94,4.97,4.93,4.66,4.89,5.0,5.01,4.86,4.68,5.03,4.75,4.76,4.88,4.73,4.83,4.85,4.76,4.78,4.65,4.61,4.71
ALLSKY_SFC_SW_DWN,27.25,80.25,4.94,4.98,5.0,4.78,4.98,5.04,5.07,4.92,4.77,5.17,4.9,4.82,4.97,4.79,4.93,4.94,4.85,4.86,4.76,4.74,4.73
ALLSKY_SFC_SW_DWN,27.25,80.75,4.94,4.98,5.0,4.78,4.98,5.04,5.07,4.92,4.77,5.17,4.9,4.82,4.97,4.79,4.93,4.94,4.85,4.86,4.76,4.74,4.73
ALLSKY_SFC_SW_DWN,27.25,81.25,5.07,4.88,4.92,4.75,4.9,4.96,4.97,4.87,4.73,5.07,4.87,4.78,4.92,4.7,4.89,4.87,4.78,4.83,4.74,4.71,4.65
ALLSKY_SFC_SW_DWN,27.25,81.75,5.07,4.88,4.92,4.75,4.9,4.96,4.97,4.87,4.73,5.07,4.87,4.78,4.92,4.7,4.89,4.87,4.78,4.83,4.74,4.71,4.65
ALLSKY_SFC_SW_DWN,27.25,82.25,5.15,4.91,4.97,4.89,4.98,5.04,5.04,4.9,4.82,5.16,4.95,4.9,5.01,4.78,4.98,4.9,4.84,4.96,4.9,4.84,4.69
ALLSKY_SFC_SW_DWN,27.25,82.75,5.15,4.91,4.97,4.89,4.98,5.04,5.04,4.9,4.82,5.16,4.95,4.9,5.01,4.78,4.98,4.9,4.84,4.96,4.9,4.84,4.69
ALLSKY_SFC_SW_DWN,27.25,83.25,5.21,4.99,4.89,4.91,4.88,4.97,5.0,4.8,4.84,5.12,4.92,4.88,5.02,4.81,4.94,4.82,4.77,4.93,4.85,4.79,4.62
ALLSKY_SFC_SW_DWN,27.25,83.75,5.21,4.99,4.89,4.91,4.88,4.97,5.0,4.8,4.84,5.12,4.92,4.88,5.02,4.81,4.94,4.82,4.77,4.93,4.85,4.79,4.62
ALLSKY_SFC_SW_DWN,27.25,84.25,5.17,4.91,4.75,4.87,4.77,4.91,4.87,4.72,4.81,5.03,4.89,4.82,5.0,4.78,4.9,4.78,4.72,4.9,4.82,4.77,4.56
ALLSKY_SFC_SW_DWN,27.25,84.75,5.17,4.91,4.75,4.87,4.77,4.91,4.87,4.72,4.81,5.03,4.89,4.82,5.0,4.78,4.9,4.78,4.72,4.9,4.82,4.77,4.56
ALLSKY_SFC_SW_DWN,27.25,85.25,5.14,4.76,4.68,4.78,4.62,4.82,4.79,4.67,4.78,4.96,4.91,4.76,5.05,4.81,4.91,4.7,4.66,4.83,4.71,4.71,4.5
ALLSKY_SFC_SW_DWN,27.25,85.75,5.14,4.76,4.68,4.78,4.62,4.82,4.79,4.67,4.78,4.96,4.91,4.76,5.05,4.81,4.91,4.7,4.66,4.83,4.71,4.71,4.5
ALLSKY_SFC_SW_DWN,27.25,86.25,5.28,4.64,4.43,4.43,4.36,4.56,4.52,4.41,4.52,4.76,4.72,4.49,4.82,4.57,4.67,4.42,4.46,4.53,4.41,4.41,4.25
ALLSKY_SFC_SW_DWN,27.25,86.75,5.28,4.64,4.43,4.43,4.36,4.56,4.52,4.41,4.52,4.76,4.72,4.49,4.82,4.57,4.67,4.42,4.46,4.53,4.41,4.41,4.25
ALLSKY_SFC_SW_DWN,27.25,87.25,5.09,4.37,4.26,4.17,4.08,4.31,4.29,4.24,4.23,4.46,4.42,4.25,4.51,4.34,4.38,4.2,4.23,4.28,4.14,4.14,4.04
ALLSKY_SFC_SW_DWN,27.25,87.75,5.09,4.37,4.26,4.17,4.08,4.31,4.29,4.24,4.23,4.46,4.42,4.25,4.51,4.34,4.38,4.2,4.23,4.28,4.14,4.14,4.04
ALLSKY_SFC_SW_DWN,27.25,88.25,4.96,4.18,4.08,3.9,3.86,4.03,4.08,4.03,3.94,4.14,4.08,4.02,4.17,4.06,4.1,3.93,3.99,4.14,4.04,3.99,3.9
ALLSKY_SFC_SW_DWN,27.75,79.75,4.94,4.97,4.93,4.66,4.89,5.0,5.01,4.86,4.68,5.03,4.75,4.76,4.88,4.73,4.83,4.85,4.76,4.78,4.65,4.61,4.71
ALLSKY_SFC_SW_DWN,27.75,80.25,4.94,4.98,5.0,4.78,4.98,5.04,5.07,4.92,4.77,5.17,4.9,4.82,4.97,4.79,4.93,4.94,4.85,4.86,4.76,4.74,4.73
