PARAMETER,LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PS,26.25,79.75,99.1,99.18,99.19,99.24,99.22,99.22,99.21,99.2,99.2,99.19,99.19,99.18,99.15,99.2,99.28,99.33,99.22,99.21,99.2,99.3,99.3
PS,26.25,80.25,99.2,99.27,99.28,99.34,99.32,99.31,99.31,99.29,99.29,99.29,99.28,99.27,99.24,99.3,99.36,99.42,99.31,99.3,99.3,99.4,99.39
PS,26.25,80.75,99.27,99.33,99.35,99.4,99.38,99.38,99.37,99.36,99.35,99.35,99.35,99.34,99.31,99.36,99.42,99.48,99.38,99.37,99.36,99.46,99.46
PS,26.25,81.25,99.33,99.4,99.41,99.46,99.44,99.44,99.44,99.42,99.41,99.41,99.41,99.4,99.37,99.42,99.48,99.54,99.44,99.42,99.42,99.52,99.52
PS,26.25,81.75,99.42,99.49,99.51,99.56,99.54,99.53,99.54,99.52,99.51,99.51,99.5,99.5,99.46,99.52,99.57,99.63,99.53,99.52,99.52,99.61,99.62
PS,26.25,82.25,99.53,99.59,99.61,99.66,99.64,99.64,99.65,99.63,99.61,99.61,99.61,99.61,99.57,99.63,99.68,99.73,99.64,99.62,99.62,99.72,99.72
PS,26.25,82.75,99.62,99.69,99.71,99.76,99.74,99.74,99.75,99.73,99.71,99.7,99.71,99.71,99.67,99.73,99.77,99.82,99.73,99.72,99.72,99.81,99.82
PS,26.25,83.25,99.71,99.77,99.8,99.84,99.82,99.82,99.83,99.81,99.79,99.79,99.79,99.79,99.75,99.82,99.85,99.9,99.81,99.8,99.8,99.89,99.9
PS,26.25,83.75,99.78,99.84,99.87,99.91,99.89,99.89,99.91,99.88,99.86,99.85,99.86,99.86,99.82,99.89,99.92,99.97,99.87,99.86,99.86,99.95,99.96
PS,26.25,84.25,99.83,99.9,99.93,99.97,99.95,99.94,99.96,99.94,99.92,99.91,99.92,99.92,99.87,99.95,99.98,100.02,99.92,99.92,99.92,100.01,100.02
PS,26.25,84.75,99.88,99.94,99.98,100.02,100.0,99.99,100.01,99.99,99.97,99.95,99.97,99.96,99.92,99.99,100.02,100.07,99.97,99.96,99.96,100.05,100.07
PS,26.25,85.25,99.9,99.95,100.0,100.04,100.02,100.0,100.03,100.01,99.99,99.97,99.98,99.98,99.93,100.0,100.03,100.08,99.98,99.98,99.98,100.06,100.08
