X,Y,PARAMETER,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
79.75,24.75,T2M,26.3,25.49,26.41,25.49,25.81,25.49,26.52,26.08,25.31,26.52,26.47,25.39,25.53,25.02,25.68,25.7,26.1,26.6,26.3,25.54,24.78
80.25,24.75,T2M,26.2,25.43,26.28,25.44,25.72,25.47,26.54,26.11,25.32,26.55,26.59,25.43,25.49,24.98,25.65,25.78,26.03,26.49,26.28,25.51,24.58
80.75,24.75,T2M,26.14,25.42,26.22,25.45,25.71,25.52,26.56,26.07,25.29,26.59,26.73,25.44,25.42,24.94,25.58,25.83,25.97,26.41,26.23,25.49,24.43
81.25,24.75,T2M,26.24,25.61,26.37,25.67,25.99,25.8,26.78,26.11,25.39,26.79,27.03,25.54,25.48,25.08,25.66,26.05,26.09,26.54,26.35,25.67,24.53
81.75,24.75,T2M,26.3,25.64,26.34,25.7,25.96,25.85,26.74,26.14,25.46,26.8,27.07,25.6,25.54,25.1,25.68,26.23,26.19,26.59,26.47,25.83,24.57
82.25,24.75,T2M,26.32,25.75,26.39,25.81,26.15,26.01,26.78,26.13,25.52,26.9,27.19,25.65,25.56,25.16,25.71,26.29,26.24,26.59,26.5,25.93,24.59
82.75,24.75,T2M,26.17,25.83,26.41,25.9,26.33,26.22,26.7,26.04,25.52,26.95,27.25,25.68,25.56,25.24,25.71,26.25,26.25,26.55,26.5,25.99,24.58
83.25,24.75,T2M,25.93,25.84,26.37,25.9,26.34,26.43,26.48,25.85,25.45,26.9,27.2,25.67,25.54,25.29,25.66,26.17,26.25,26.54,26.51,26.03,24.58
83.75,24.75,T2M,25.83,25.78,26.26,25.82,26.11,26.55,26.24,25.62,25.34,26.79,27.17,25.64,25.49,25.22,25.56,26.12,26.27,26.65,26.54,26.1,24.74
84.25,24.75,T2M,25.99,25.87,26.28,25.9,26.09,26.73,26.25,25.64,25.37,26.81,27.25,25.75,25.62,25.35,25.64,26.31,26.44,26.76,26.67,26.29,24.96
84.75,24.75,T2M,25.87,25.74,26.06,25.77,25.84,26.61,26.09,25.43,25.12,26.52,27.09,25.63,25.42,25.16,25.46,26.2,26.32,26.46,26.48,26.2,24.83
85.25,24.75,T2M,25.58,25.5,25.74,25.52,25.52,26.33,25.85,25.11,24.8,26.09,26.77,25.39,25.06,24.83,25.16,25.97,26.1,26.05,26.08,25.96,24.55
85.75,24.75,T2M,25.27,25.28,25.47,25.28,25.27,26.04,25.6,24.82,24.59,25.71,26.41,25.13,24.76,24.55,24.92,25.76,25.91,25.72,25.62,25.69,24.31
86.25,24.75,T2M,25.13,25.22,25.39,25.19,25.24,25.89,25.44,24.77,24.72,25.65,26.15,24.99,24.81,24.53,24.96,25.73,25.89,25.62,25.35,25.5,24.22
86.75,24.75,T2M,25.16,25.35,25.48,25.32,25.38,25.96,25.48,24.91,25,25.77,26.12,25.06,25.11,24.75,25.24,25.86,26,25.62,25.26,25.53,24.32
87.25,24.75,T2M,25.07,25.35,25.4,25.32,25.34,25.88,25.43,24.97,25.1,25.74,26,25.07,25.22,24.89,25.39,26.01,26.17,25.7,25.33,25.63,24.48
87.75,24.75,T2M,25.12,25.47,25.45,25.43,25.42,25.92,25.53,25.19,25.29,25.85,26.04,25.26,25.39,25.15,25.65,26.22,26.42,25.83,25.43,25.83,24.73
88.25,24.75,T2M,25.26,25.64,25.58,25.58,25.57,26.04,25.69,25.47,25.52,26.03,26.17,25.52,25.57,25.44,25.93,26.33,26.58,25.85,25.4,25.98,24.89
88.75,24.75,T2M,25.14,25.48,25.44,25.41,25.37,25.9,25.56,25.36,25.42,25.89,25.98,25.4,25.4,25.34,25.81,26.01,26.31,25.46,24.98,25.74,24.67
